Games,Athletes,Gold,Silver,Bronze,Total
1896 Athens,14,11,7,2,20
1900 Paris,75,19,14,14,47
1904 St. Louis,420,78,82,79,239
1908 London,122,23,12,12,47
1912 Stockholm,174,25,19,19,63
1920 Antwerp,288,41,27,27,95
1924 Paris,299,45,27,27,99
1928 Amsterdam,280,22,18,16,56
1932 Los Angeles,474,41,32,30,103
1936 Berlin,359,24,20,12,56
1948 London,300,38,27,19,84
1952 Helsinki,286,40,19,17,76
1956 Melbourne,297,32,25,17,74
1960 Rome,292,34,21,16,71
1964 Tokyo,346,36,26,28,90
1968 Mexico City,357,45,28,34,107
1972 Munich,400,33,31,30,94
1976 Montreal,396,34,35,25,94
1980 Moscow,Did not participate,Did not participate,Did not participate,Did not participate,Did not participate
1984 Los Angeles,522,83,61,30,174
1988 Seoul,527,36,31,27,94
1992 Barcelona,545,37,34,37,108
1996 Atlanta,646,44,32,25,101
2000 Sydney,586,37,24,32,93
2004 Athens,613,36,39,26,101
2008 Beijing,596,36,39,37,112
2012 London,530,46,28,30,104
2016 Rio de Janeiro,554,46,37,38,121
Total,Total,1022,795,706,2523
